Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Hong Kong Moths,"To document the moth species in Hong Kong, as well as their distribution and abundance within Hong Kong, with an aim to assess the conservation status of each species",Data,Asia,Other,Asia,2011,Ongoing,<100 km,Terrestrial,Moths,No,NA,NA,Some,Photo,All,None,Unknown,Unknown,2,2012,Anyone interested,No,NA,NA,Yes,website photos (only user submitted though),electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/hong-kong-moths,iNaturalist,2012-05-04
Hoosier Riverwatch,"Education, training, engagement and research in water quality for IndiaNA",Both,North America,Government,North America,1994,Ongoing,<1000 km,Freshwater,"E. coli, macroinvertebrates",No,NA,NA,Some,expert and sample,All,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,web instructions,electronic,Yes,website info on calls,electronic,0,Unknown,NA,http://www.hoosierriverwatch.com/,Cornell Citizen Science Central,2012-04-27
House Finch Disease Survey,"Involve people of all ages and backgrounds in important scientific research, track the spread of Mycoplasmal conjunctivitis among House Finches, American Goldfinches, and other bird species detect any significant declines of House Finches and American Goldfinches,
understand how diseases and their hosts regulate their distribution and abundance

",Data,North America,Academic,Global,1994,2012,>10000 km,Terrestrial,"House finch, American goldfinch",No,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"online, mailed material",combo,Yes,online,combo,2,Unknown,NA,http://www.birds.cornell.edu/hofi/,Cornell Citizen Science Central,2012-05-16
Huckleberry Botanic Preseve Monitoring,"The goal of this project is to keep track of the things that live in Huckleberry Botanic Preserve in Oakland, CA, with the ultimate goal of building checklists The EBRPD already provides a good checklist for the flowering plants, but other groups of organisms aren't as well-represented",Data,North America,Other,North America,2010,Ongoing,<10 km,Terrestrial,"Plants, birds, fungi, mollusk, amphibian, mammal, insects",No,NA,NA,Some,Photo,All,None,2,2,2,2012,Anyone interested,No,NA,NA,Yes,website photos (only user submitted though),electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/huckleberry-botanic-preserve-monitoring,iNaturalist,2012-05-04
Hudson River Eel Project,"Goals (eg, restoration, education, research) - education, monitoring, restoration:  involves over two hundred diverse community members in shared goals and methodologies to study juvenile eels during their spring migrations from sea to stream",Both,North America,Other,North America,2003,Ongoing,<100 km,Freshwater,Freshwater eels,No,Migration,NA,All,Expert present,Some,All,Unknown,Unknown,200,2011,Anyone interested,Yes,expert w/ group,in-person,Yes,expert w/ group,in-person,0,Yes,Eel Project Summary of Evaluations,http://www.dec.ny.gov/lands/49580.html,Cornell Citizen Science Central,2012-04-27
I-90 Wildlife Watch,Invites motorists to report wildlife sightings along Interstate 90 (I-90) in the Snoqualmie Pass region of Washington we hope to reduce wildlife-vehicle collisions and enhance the safe passage of wildlife in the future,Data,North America,"Academic, NGO, Government",North America,2010,Ongoing,<1000 km,Terrestrial,Everything,No,NA,NA,None,NA,All,All,250,1,Unknown,Unknown,"Anyone interested, driving on I-90",Yes,info on web,electronic,Yes,link to smithsonian website of north american mammals,electronic,0,Unknown,NA,http://i90wildlifewatch.org/,Scistarter,2012-02-15
IceWatch USA,"IceWatch USA™, a program of NAture Abounds, brings citizen science volunteers the opportunity to help scientists study how our climate is changing! In as little as 10 minutes, volunteers can report information that will help to aNAlyze how our climate will change in different regions of the United States, and how our ecosystems are reacting to the change Goals - education, research, monitoring",Both,North America,NGO,North America,2010,Ongoing,Unknown,"Freshwater, marine, terrestrial","Animals, plants",No,NA,NA,Some,Photo,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,No,NA,NA,0,Unknown,NA,http://www.NAtureabounds.org/IceWatch_USA.html,Cornell Citizen Science Central,2012-05-16
Illinois Butterfly Monitoring Network,"Monitoring the health of butterfly populations throughout northeastern and central Illinois These citizen scientist volunteers come from all walks of life to help in this ongoing program A few people come to the program already knowing many butterflies, but most people begin knowing just a few common species More than 100 sites are now being monitored every year, and the program is being expanded throughout Illinois",Data,North America,Unknown,North America,1987,Ongoing,<1000 km,"Terrestrial, freshwater",Butterflies,No,NA,NA,None,NA,Some,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"in-person workshop, web pdfs",combo,Yes,"in-person, web pdfs",combo,0,Unknown,NA,http://www.bfly.org/index.html,Scistarter,2012-02-20
Illinois RiverWatch Citizen Scientist Program ,"Illinois RiverWatch safeguards the future of Illinois rivers and streams through stewardship, education and sound science ",Both,North America,NGO,North America,1995,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,All,Specimen collection,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://www.ngrrec.org/riverwatch,EPA,2012-04-13
Illinois RiverWatch Network - Stream Sampling,"Collect high quality scientific data that will subsequently be used by professioNAls and the general public to gauge long-term trends in stream health, develop land maNAgement strategies, identify potentially degraded waters, and assess the effectiveness of restoration projects Through monitoring, Citizen Scientists obtain a greater understanding and appreciation for our rivers and streams and serve as advocates for the protection of those resources",Both,North America,"Academic, NGO",North America,1995,Ongoing,<1000 km,Freshwater,Benthic macroinvertebrates ,No,NA,NA,All,"expert present for ID labs, samples and photos submitted",None,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person and online,combo,Yes,"in-person, online",combo,0,Unknown,NA,http://www.ngrrec.org/index.php/riverwatch,Scistarter,2012-02-15
iNaturalist.org Global Amphibian Blitz,To document amphibians globally,Data,North America,"Academic, NGO, Government",Global,2011,Ongoing,>10000 km,"Terrestrial, freshwater, estuarine",Amphibians,Some,NA,NA,All,Photo,All,None,417,1,Unknown,Unknown,Anyone interested,Yes,online video,electronic,Yes,Web database,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/global-amphibian-bioblitz,Scientific American,
Inland Sea Society ,Monitor the Sioux River watershed and educate the public,Both,North America,NGO,North America,1997,Unknown,Unknown,"Terrestrial, freshwater","Plants,  macroinvertebrates",Some,NA,NA,Unknown,NA,Some,Unknown,Unknown,Unknown,25,2002,Anyone interested,Unknown,Unknown,NA,Unknown,Unknown,NA,0,Unknown,NA,http://www.inlandsea.org/,EPA,2012-03-30
International Sea Turtle Observation Registry (iSTOR),The International Sea Turtle Observation Registry is a database of sea turtle sightings to help sea turtle biologists and conservations track and understand the distribution of sea turtles around the world,Data,North America,NGO,Global,1999,Ongoing,>10000 km,Marine,Sea turtles,No,Length of turtle shell,NA,None,NA,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online data sheet,electronic,Yes,online species list and images,electronic,0,Unknown,NA,http://www.seaturtle.org/,Scistarter,
Introduced Species,"Seeking to document observations of non-NAtive introduced species outside of their origiNAl homelands Observations must be of organisms that were introduced to an area by humans recently (established populations of introduced species are okay), not NAtural shifts in range, or migrations",Data,Global,Other,Global,2012,Ongoing,>10000 km,"Terrestrial, freshwater, marine, estuarine","Plants, brown algae, mollusks, amphibians, mamals, birds, reptiles, fish, insects, arachnids, sea squirt, crab, woodlouse, barnacles, millipedes",No,NA,NA,Some,Photo,All,None,Unknown,Unknown,19,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,Unknown,iNaturalist,2012-05-04
Invaders of Texas,Seek out and report outbreaks of selected environmentally and economically harmful invasive species; coordinated by resource managers who will coordinate appropriate responses to control the spread of unwanted invaders The Invaders Program is designed to move the target audience beyond awareness to action on invasive species,Data,North America,"Academic, NGO, Government",North America,2005,Ongoing,<10000 km,"Terrestrial, freshwater",Invasives,Yes,NA,NA,All,Photo,Some,None,700,5,Unknown,Unknown,Anyone interested,Yes,web training and workshops,combo,Yes,Online tutorial or in-person,combo,0,Unknown,NA,http://http://texasinvasives.org/,Scistarter,2012-02-07
Invasive Tracers,To help the environment by assisting research that helps to understand the changing planet and to preserve its biodiversity for a healthier environment!,Both,North America,"Academic, Government",North America,2007,Ongoing,<10000 km,"Terrestrial, marine",Crabs,Yes,NA,NA,None,NA,Some,All,Unknown,Unknown,7000,2005,Anyone interested,Yes,online material,electronic,Yes,online guide,electronic,0,Unknown,NA,http://www.mikedelaney.org/user/index.htm,Cornell,2012-04-27
"IOWATER, Iowa's Volunteer Water Quality Monitoring ","IOWATER, Iowa's volunteer water quality monitoring program, empowers citizens to take a proactive approach to water quality By monitoring the water resources in our backyards, we can ensure the protection, longevity and productivity of high quality water resources, as well as evaluate, assess, and improve those of lower quality ",Both,North America,Government,North America,1998,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,All,Specimen collection,All,All,Unknown,Unknown,2000,2009,Anyone interested,Yes,"combo: in-person, online, hard copy at workshops",combo,Yes,"comob: in-person, online, hard copy at workshops",combo,0,Unknown,NA,http://www.iowater.net/Default.htm,NA,2012-04-13
Jasper Ridge Monitoring Project,The purpose of this project is to gather information about the distribution and abundance of plants and animals found on Jasper Ridge Biological Preserve,Data,North America,Private,North America,2011,Ongoing,<100 km,"Terrestrial, freshwater","Plants, animals",No,NA,NA,All,Photo,All,None,17,2,17,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/jasper-ridge-monitoring-project,iNaturalist,2012-04-27
Jay Watch: Monitoring Florida's Only Endemic Bird,"Jay Watch needs volunteers in Florida to conduct surveys of the charismatic scrub-jay, the only Florida bird species that lives nowhere else on earth Volunteers play recorded, territorial scrub-jay calls to attract the birds, then observe and record the number of family groups, adults and juveniles Volunteers note any band color combinations, helping track individual birds Information is
recorded on aerial maps by volunteers in the field and is then computerized Jay Watch tells us where the jays are doing poorly, and where they thrive From these data, maps are created that help land managers decide where and how to improve habitat",Data,North America,NGO,North America,2002,Ongoing,<1000 km,Terrestrial,Florida scrub-jay,No,NA,NA,All,Expert present,Some,All,1443,9,280,2010,No children,Yes,workshop,in-person,Yes,workshop,in-person,0,Unknown,NA,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/florida/volunteer/jay-watch-volunteer-to-monitor-florida-scrub-jays.xml,Scistarter,
Jellywatch,Build open access database documenting ocean conditions Submit sightings of jellyfish to the database,Data,North America,NGO,Global,Unknown,Ongoing,>10000 km,Marine,"Jellyfish,  marine animals",No,NA,NA,Some,Photo,All,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.jellywatch.org/,NA,2012-03-05
Journey North's Spring Monarch Butterfly Migration Monitoring,"Participants track the Monarch Butterfly's spring migration by reporting their first sighting of an adult monarch butterfly They also report the first spring sightings of milkweed, monarch butterfly eggs and/or caterpillars The purpose of the study is to provide insight into the broad movement patterns and timing of monarch migration and possibly range expansion",Both,North America,NGO,North America,1997,Ongoing,<10000 km,Terrestrial,"Monarch butterfly, milkweed, monarch butterfly eggs and/or caterpillars",No,Migration,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,Yes,online material,electronic,0,Unknown,NA,http://www.learner.org/jnorth/monarch/,Cornell Citizen Science Central,2012-04-27
Jug Bay Volunteer Program,"Goals - research, education, stewardship",Both,North America,NGO,North America,2009,Ongoing,<1000 km,"Freshwater, estuarine, terrestrial","Phytoplankton, macroinvertebrates, fish, birds, amphibians, reptiles, plants",No,NA,NA,All,Expert present,Unknown,All,150,3,50,2012,Anyone interested,Yes,expert present,in-person,Yes,expert present,in-person,0,Unknown,Curriculum,http://www.jugbay.org/research,Cornell Citizen Science Central,2012-05-16
