Organisms	Record_Count	%of296,871
Choeropsis Liberiensis	7	0.002
Choloepus Hoffmanni	7	0.002
Chondrostoma Regium	7	0.002
Choristoneura	7	0.002
Chrysocharis Laricinellae	7	0.002
Cichla Monoculus	7	0.002
Cichlidogyrus Sclerosus	7	0.002
Cingulata	7	0.002
Circus Maurus	7	0.002
Clarias	7	0.002
Clethrionomys Rutilus	7	0.002
Clonorchis Sinensis	7	0.002
Coccidae	7	0.002
Coccobius Fulvus	7	0.002
Cochliomyia Macellaria	7	0.002
Coenagrionidae	7	0.002
Coleomegilla Maculata Lengi	7	0.002
Colinus Virginianus Ridgwayi	7	0.002
Colobus Angolensis Palliatus	7	0.002
Coluber Constrictor	7	0.002
Conodonta	7	0.002
Conogethes Punctiferalis	7	0.002
Coreius Guichenoti	7	0.002
Cosmocercoides Dukae	7	0.002
Crax Rubra	7	0.002
Crematogaster Mimosae	7	0.002
Cricetomys Gambianus	7	0.002
Crocidura	7	0.002
Crocodylidae	7	0.002
Ctenopharyngodon Idella X Hypophthalmichthys Nobilis	7	0.002
Culiseta Melanura	7	0.002
Culter Alburnus	7	0.002
Cyanoramphus Auriceps	7	0.002
Cyathocephalus Truncatus	7	0.002
Cynomys Gunnisoni	7	0.002
Daktulosphaira Vitifoliae	7	0.002
Dama Mesopotamica	7	0.002
Dasyprocta Punctata	7	0.002
Dasyurus Geoffroii	7	0.002
Delia Platura	7	0.002
Delottococcus Aberiae	7	0.002
Dendrocygna Viduata	7	0.002
Dendroica Virens	7	0.002
Dendrolagus Matschiei	7	0.002
Dermacentor Marginatus	7	0.002
Desmognathus Ochrophaeus	7	0.002
Diabrotica Balteata	7	0.002
Diabrotica Speciosa	7	0.002
Diaphania Indica	7	0.002
Dicamptodon Aterrimus	7	0.002
Dicrocoelium Dendriticum	7	0.002
Dioryctria Abietella	7	0.002
Diphyllobothrium Dendriticum	7	0.002
Diphyllobothrium Ditremum	7	0.002
Diplodon Chilensis	7	0.002
Echinococcus Granulosus	7	0.002
Egretta	7	0.002
Egretta Rufescens	7	0.002
Elliptio Dilatata	7	0.002
Empoasca	7	0.002
Encarsia Lutea	7	0.002
Epinephelus Fuscoguttatus	7	0.002
Epioblasma Brevidens	7	0.002
Epioblasma Capsaeformis	7	0.002
Equus Burchellii	7	0.002
Equus Zebra Hartmannae	7	0.002
Erebidae	7	0.002
Ergasilus Sieboldi	7	0.002
Eriocrania	7	0.002
Eristalis Tenax	7	0.002
Erpobdella Octoculata	7	0.002
Esox	7	0.002
Estrilda Astrild	7	0.002
Etheostoma	7	0.002
Etheostoma Okaloosae	7	0.002
Eubalaena Glacialis	7	0.002
Eudyptes Chrysolophus	7	0.002
Euglena	7	0.002
Eulemur Fulvus	7	0.002
Eupelmidae	7	0.002
Euphydryas Editha Bayensis	7	0.002
Eurycea Bislineata	7	0.002
Eurycea Sosorum	7	0.002
Eurytemora Affinis	7	0.002
Euschistus Tristigmus	7	0.002
Exorista Larvarum	7	0.002
Falco Vespertinus	7	0.002
Fasciola Gigantica	7	0.002
Felis Margarita	7	0.002
Filarioidea	7	0.002
Folsomia Fimetaria	7	0.002
Formica Fusca	7	0.002
Formica Subsericea	7	0.002
Fulica Cristata	7	0.002
Gadopsis Bispinosus	7	0.002
Galaxias	7	0.002
Galaxias Vulgaris	7	0.002
Gammarus Roeseli	7	0.002
Gastrophryne Olivacea	7	0.002
Gavia Pacifica	7	0.002
Gerridae	7	0.002
Glaucomys Sabrinus Coloratus	7	0.002
Glaucomys Sabrinus Fuscus	7	0.002
Glossophaga Soricina	7	0.002
Gobiomorphus Breviceps	7	0.002
Gonyostomum Semen	7	0.002
Goodea Atripinnis	7	0.002
Gratiana Boliviana	7	0.002
Haemaphysalis Punctata	7	0.002
Haemonchus Contortus	7	0.002
Haliotis Diversicolor Supertexta	7	0.002
Haliotis Fulgens	7	0.002
Haplochrominae	7	0.002
Harpacticoida	7	0.002
Helix Aspersa	7	0.002
Helmitheros Vermivorus	7	0.002
Hemibelideus Lemuroides	7	0.002
Hemiberlesia Lataniae	7	0.002
Heteroderidae	7	0.002
Heterosigma Akashiwo	7	0.002
Himantopus Himantopus	7	0.002
Hippocampus Erectus	7	0.002
Hippocampus Guttulatus	7	0.002
Hippoglossus Stenolepis	7	0.002
Hydraenidae	7	0.002
Hydrobiidae	7	0.002
Hydropotes Inermis Argyropus	7	0.002
Hymenolepis	7	0.002
Hypera Postica	7	0.002
Hyphessobrycon Eques	7	0.002
Hypophthalmichthys Nobilis X Ctenopharyngodon Idella	7	0.002
Hypostomus	7	0.002
Hypseleotris	7	0.002
Hystrix Cristata	7	0.002
Ibalia Leucospoides	7	0.002
Icterus Oberi	7	0.002
Ictiobus Bubalus	7	0.002
Ips Paraconfusus	7	0.002
Ixodoidea	7	0.002
Jaculus Jaculus	7	0.002
Jinshaia Sinensis	7	0.002
Katsuwonus Pelamis	7	0.002
Kinixys Homeana	7	0.002
Lagopus	7	0.002
Lanius Excubitor	7	0.002
Lanius Ludovicianus Mearnsi	7	0.002
Laricobius Osakensis	7	0.002
Larinus Planus	7	0.002
Lasiurus Seminolus	7	0.002
Lasius	7	0.002
Lasius Neglectus	7	0.002
Leiopelma Pakeka	7	0.002
Leiopicus Medius	7	0.002
Leopardus Colocolo	7	0.002
Lepidoglyphus Destructor	7	0.002
Leporinus Macrocephalus	7	0.002
Leptodactylus Fallax	7	0.002
Leptonycteris Yerbabuenae	7	0.002
Leptotila Verreauxi	7	0.002
Lepus Flavigularis	7	0.002
Leucaspius Delineatus	7	0.002
Limosa Lapponica	7	0.002
Limulus Polyphemus	7	0.002
Lithobates Chiricahuensis	7	0.002
Litoria Spenceri	7	0.002
Longidoridae	7	0.002
Longitarsus Jacobaeae	7	0.002
Lontra Provocax	7	0.002
Lopinga Achine	7	0.002
Loxia Curvirostra	7	0.002
Lumbricina	7	0.002
Luscinia Megarhynchos	7	0.002
Lycaena Dispar	7	0.002
Lycalopex Culpaeus	7	0.002
Lycorma Delicatula	7	0.002
Lydella Thompsoni	7	0.002
Lymantria Dispar Asiatica	7	0.002
Macoma Balthica	7	0.002
Macrobrachium Americanum	7	0.002
Macrobrachium Carcinus	7	0.002
Macropus Dorsalis	7	0.002
Macrotermes	7	0.002
Maja Brachydactyla	7	0.002
Malacosoma Neustria	7	0.002
Mamestra Configurata	7	0.002
Mandrillus Leucophaeus	7	0.002
Mandrillus Sphinx	7	0.002
Manis Crassicaudata	7	0.002
Mantodea	7	0.002
Margaritifera Falcata	7	0.002
Marmota Olympus	7	0.002
Martes Caurina	7	0.002
Melamprosops Phaeosoma	7	0.002
Melanerpes Formicivorus	7	0.002
Melanoplus Femurrubrum	7	0.002
Melanotaenia Duboulayi	7	0.002
Meloidogyne Chitwoodi	7	0.002
Meloidogyne Enterolobii	7	0.002
Melolontha Melolontha	7	0.002
Melomys Cervinipes	7	0.002
Meretrix Lusoria	7	0.002
Mergus Octosetaceus	7	0.002
Merluccius Merluccius	7	0.002
Mesoclanis Polana	7	0.002
Metaphycus	7	0.002
Metcalfa Pruinosa	7	0.002
Microcebus	7	0.002
Micropogonias Undulatus	7	0.002
Micropterus Notius	7	0.002
Miichthys Miiuy	7	0.002
Minois Dryas	7	0.002
Misgurnus Fossilis	7	0.002
Moniezia	7	0.002
Moniezia Expansa	7	0.002
Monochamus Carolinensis	7	0.002
Moxostoma Macrolepidotum	7	0.002
Muntiacus	7	0.002
Muscicapa Striata	7	0.002
Muscidifurax	7	0.002
Myotis Yumanensis	7	0.002
Myrmecobius Fasciatus	7	0.002
Myrmeleontidae	7	0.002
Mytilus	7	0.002
Myxosoma Cerebralis	7	0.002
Naegleria	7	0.002
Nanger Granti	7	0.002
Nasonia Vitripennis	7	0.002
Natrix Maura	7	0.002
Nematocera	7	0.002
Neochrysocharis Formosa	7	0.002
Neodiprion Abietis	7	0.002
Neoechinorhynchus	7	0.002
Neohydatothrips Variabilis	7	0.002
Neolamprologus Pulcher	7	0.002
Neonympha Mitchellii Mitchellii	7	0.002
Neophocaena Asiaeorientalis Asiaeorientalis	7	0.002
Nephotettix	7	0.002
Nerodia Sipedon Sipedon	7	0.002
Neurergus Microspilotus	7	0.002
Notodontidae	7	0.002
Notropis Anogenus	7	0.002
Notropis Heterolepis	7	0.002
Notropis Lutrensis	7	0.002
Notropis Simus Pecosensis	7	0.002
Numenius Phaeopus	7	0.002
Ochlerotatus Caspius	7	0.002
Ochrotomys Nuttalli	7	0.002
Octotoma Scabripennis	7	0.002
Odontobutis Potamophila	7	0.002
Odontotermes Formosanus	7	0.002
Oebalus Pugnax	7	0.002
Oenopia Conglobata	7	0.002
Oligoryzomys Longicaudatus	7	0.002
Oligosoma Polychroma	7	0.002
Onychomys Leucogaster	7	0.002
Ooencyrtus Kuvanae	7	0.002
Ooencyrtus Telenomicida	7	0.002
Oophaga Pumilio	7	0.002
Operophtera Bruceata	7	0.002
Oreochromis Mossambicus X Oreochromis Niloticus	7	0.002
Oreochromis Niloticus X Oreochromis Mossambicus	7	0.002
Orgyia Pseudotsugata	7	0.002
Ornithodiplostomum Ptychocheilus	7	0.002
Orthocladiinae	7	0.002
Orthodon Microlepidotus	7	0.002
Osmia Rufa	7	0.002
Otocyon Megalotis	7	0.002
Ovis Ammon Polii	7	0.002
Oxygymnocypris Stewartii	7	0.002
Pachycrepoideus Vindemiae	7	0.002
Palaemon Serratus	7	0.002
Palaemonidae	7	0.002
Pangasius Bocourti	7	0.002
Panthera Pardus Nimr	7	0.002
Pantherophis Guttatus	7	0.002
Panulirus Homarus	7	0.002
Panulirus Ornatus	7	0.002
Panurus Biarmicus	7	0.002
Papio Cynocephalus	7	0.002
Paracoccus Marginatus	7	0.002
Paralabrax Maculatofasciatus	7	0.002
Paramecium	7	0.002
Paramecium Caudatum	7	0.002
Parasaissetia Nigra	7	0.002
Pardosa	7	0.002
Partula	7	0.002
Parus Bicolor	7	0.002
Parus Cristatus	7	0.002
Passeri	7	0.002
Pavo Cristatus	7	0.002
Pelophylax Nigromaculatus	7	0.002
Pelteobagrus Vachelli	7	0.002
Pentalagus Furnessi	7	0.002
Pentastomida	7	0.002
Perameles Bougainville	7	0.002
Periplaneta Fuliginosa	7	0.002
Petrochelidon Pyrrhonota	7	0.002
Pharomachrus Mocinno	7	0.002
Philander Opossum	7	0.002
Philasterides Dicentrarchi	7	0.002
Philesturnus Carunculatus Carunculatus	7	0.002
Phloeotribus Scarabaeoides	7	0.002
Phoebastria Immutabilis	7	0.002
Phoenicopterus Ruber	7	0.002
Phylidonyris Novaehollandiae	7	0.002
Pilosa	7	0.002
Pinctada Imbricata	7	0.002
Pinnipedia	7	0.002
Piscicola Geometra	7	0.002
Pissodes Nemorensis	7	0.002
Pituophis Catenifer Sayi	7	0.002
Plagiodera Versicolora	7	0.002
Planorbarius Corneus	7	0.002
Platanista Gangetica Gangetica	7	0.002
Platygaster	7	0.002
Plecoglossus Altivelis Altivelis	7	0.002
Plethodon Elongatus	7	0.002
Pleuronectes Americanus	7	0.002
Podargus Strigoides	7	0.002
Podocnemis Sextuberculata	7	0.002
Poicephalus Robustus	7	0.002
Polioptila Californica Californica	7	0.002
Polistes Dominulus	7	0.002
Pomacea Insularum	7	0.002
Pomphorhynchus Bulbocolli	7	0.002
Priodontes Maximus	7	0.002
Prionace Glauca	7	0.002
Pristis Pristis	7	0.002
Procambarus Zonangulus	7	0.002
Procapra Picticaudata	7	0.002
Procellaria Aequinoctialis	7	0.002
Procellariiformes	7	0.002
Prochilodus Scrofa	7	0.002
Proclossiana Eunomia	7	0.002
Proisotoma Minuta	7	0.002
Propylaea Japonica	7	0.002
Prorocentrum Minimum	7	0.002
Prosimii	7	0.002
Proteocephalus Ambloplitis	7	0.002
Psammodromus Algirus	7	0.002
Pseudaulacaspis Pentagona	7	0.002
Pseudemys Concinna	7	0.002
Pseudococcus Calceolariae	7	0.002
Pseudococcus Comstocki	7	0.002
Pseudodactylogyrus Bini	7	0.002
Pseudonestor Xanthophrys	7	0.002
Psila Rosae	7	0.002
Psorophora Columbiae	7	0.002
Pterodroma Phaeopygia	7	0.002
Pteropus Vampyrus	7	0.002
Pterostichus	7	0.002
Pterygoplichthys Pardalis	7	0.002
Pycnonotus Sinensis	7	0.002
Pyganodon Grandis	7	0.002
Pyronia Tithonus	7	0.002
Python Bivittatus	7	0.002
Rana Aurora Draytonii	7	0.002
Rana Japonica	7	0.002
Rana Latastei	7	0.002
Raphicerus Campestris	7	0.002
Raphus Cucullatus	7	0.002
Ratufa Indica	7	0.002
Regulus Satrapa	7	0.002
Rhagoletis Cerasi	7	0.002
Rhagoletis Completa	7	0.002
Rhagoletis Indifferens	7	0.002
Rhea Pennata Pennata	7	0.002
Rhinoceros Sondaicus	7	0.002
Rhinolophus	7	0.002
Rhizoglyphus Robini	7	0.002
Rhodeus Ocellatus Kurumeus	7	0.002
Rhynchophanes Mccownii	7	0.002
Rodolia Cardinalis	7	0.002
Romerolagus Diazi	7	0.002
Rousettus Aegyptiacus	7	0.002
Rutilus	7	0.002
Salmo Clarki Clarki	7	0.002
Sarotherodon Aureus X S Niloticus	7	0.002
Sarotherodon Niloticus X S Aureus	7	0.002
Satyrinae	7	0.002
Sceloporus Arenicolus	7	0.002
Scelorchilus Rubecula	7	0.002
Schizopygopsis Younghusbandi	7	0.002
Schizothorax Oconnori	7	0.002
Schizothorax Richardsonii	7	0.002
Schizothorax Waltoni	7	0.002
Scirtothrips Aurantii	7	0.002
Scolothrips Takahashii	7	0.002
Serinus Serinus	7	0.002
Setophaga Coronata	7	0.002
Simulium Damnosum Complex	7	0.002
Siphoninus Phillyreae	7	0.002
Sirex Nigricornis	7	0.002
Sitta Carolinensis	7	0.002
Sitta Whiteheadi	7	0.002
Sminthurus Viridis	7	0.002
Solenopsis Xyloni	7	0.002
Somatochlora Hineana	7	0.002
Spalangia	7	0.002
Spea Multiplicata	7	0.002
Spermophilus Lateralis	7	0.002
Sphaerium Corneum	7	0.002
Sphaerospora	7	0.002
Sphaerothecum Destruens	7	0.002
Spheniscus Mendiculus	7	0.002
Spisula Solidissima	7	0.002
Spizaetus Tyrannus	7	0.002
Spodoptera	7	0.002
Spodoptera Eridania	7	0.002
Spongilla Lacustris	7	0.002
Squalius Carolitertii	7	0.002
Steinernema Diaprepesi	7	0.002
Stenoma Catenifer	7	0.002
Stercorarius Parasiticus	7	0.002
Sterna	7	0.002
Sterna Albifrons	7	0.002
Sterna Paradisaea	7	0.002
Striacosta Albicosta	7	0.002
Suidae	7	0.002
Syncerus Caffer Nanus	7	0.002
Tadarida Brasiliensis Mexicana	7	0.002
Tadorna Tadorna	7	0.002
Tamarixia Triozae	7	0.002
Tarsonemidae	7	0.002
Tecia Solanivora	7	0.002
Telenomus Busseolae	7	0.002
Teleostomi	7	0.002
Telestes Muticellus	7	0.002
Temnochila Chlorodia	7	0.002
Testudo Kleinmanni	7	0.002
Testudo Marginata	7	0.002
Tetragnatha	7	0.002
Tetragonisca Angustula	7	0.002
Tetramorium	7	0.002
Tetraonchus Monenteron	7	0.002
Tetraselmis	7	0.002
Tetrastes Bonasia	7	0.002
Theridiidae	7	0.002
Theropithecus Gelada	7	0.002
Thomisidae	7	0.002
Threskiornis Molucca	7	0.002
Threskiornithidae	7	0.002
Thrips Hawaiiensis	7	0.002
Thylacinus Cynocephalus	7	0.002
Timon Lepidus	7	0.002
Tomicus Destruens	7	0.002
Tomistoma Schlegelii	7	0.002
Torgos Tracheliotos	7	0.002
Trachinotus Carolinus	7	0.002
Triaenophorus Crassus	7	0.002
Trichechus Manatus Manatus	7	0.002
Trichilogaster Acaciaelongifoliae	7	0.002
Trichostrongylus	7	0.002
Troglodytes Troglodytes	7	0.002
Trombidiformes	7	0.002
Tryngites Subruficollis	7	0.002
Tyria Jacobaeae	7	0.002
Umbra Limi	7	0.002
Umbrina Cirrosa	7	0.002
Unaspis Yanonensis	7	0.002
Uromys Caudimaculatus	7	0.002
Vanessa Cardui	7	0.002
Vertigo Angustior	7	0.002
Vespertilio Murinus	7	0.002
Vipera Latastei	7	0.002
Vireo Atricapillus	7	0.002
Vireo Bellii Pusillus	7	0.002
Vitacea Polistiformis	7	0.002
Xenarthra	7	0.002
Xiphias Gladius	7	0.002
Zapus Hudsonius Luteus	7	0.002
Zygogramma Bicolorata	7	0.002
Zyzomys Pedunculatus	7	0.002
Acanthobrama Marmid	6	0.002
Accipiter Gentilis Atricapillus	6	0.002
Achroia Grisella	6	0.002
Acomys Dimidiatus	6	0.002
Acomys Russatus	6	0.002
Acrocephalus Palustris	6	0.002
Acrosternum Hilare	6	0.002
Actinonaias Ligamentina	6	0.002
Aedes Taeniorhynchus	6	0.002
Agalychnis Callidryas	6	0.002
Ageniaspis Citricola	6	0.002
Agonum Dorsale	6	0.002
Agosia Chrysogaster	6	0.002
Agrilus	6	0.002
Akodon Montensis	6	0.002
Alca Torda	6	0.002
Aldabrachelys Gigantea	6	0.002
Alectura Lathami	6	0.002
Alexandrium Fundyense	6	0.002
Aleyrodes Proletella	6	0.002
Allolobophora Caliginosa	6	0.002
Amazona Tucumana	6	0.002
Amazona Vinacea	6	0.002
Amblyomma Limbatum	6	0.002
Amblyomma Parvum	6	0.002
Amblyopsis Rosae	6	0.002
Amblyseius Womersleyi	6	0.002
Ameiurus Catus	6	0.002
Americamysis Bahia	6	0.002
Amoeba	6	0.002
Amynthas Gracilis	6	0.002
Anabrus Simplex	6	0.002
Anaphes Nitens	6	0.002
Anas Gibberifrons	6	0.002
Anax Imperator	6	0.002
Anopheles Atroparvus	6	0.002
Anopheles Coustani	6	0.002
Anopheles Freeborni	6	0.002
Anopheles Pharoensis	6	0.002
Anser Albifrons Frontalis	6	0.002
Anthornis Melanura	6	0.002
Anthropoidea	6	0.002
Anthus Campestris	6	0.002
Antilophia Bokermanni	6	0.002
Apalone Mutica	6	0.002
Aphanius Dispar	6	0.002
Aphelocoma Californica	6	0.002
Aphis Illinoisensis	6	0.002
Aphis Nasturtii	6	0.002
Aphthona	6	0.002
Aphytis Chrysomphali	6	0.002
Apicystis Bombi	6	0.002
Apodemus Peninsulae	6	0.002
Aproceros Leucopoda	6	0.002
Aptenodytes Forsteri	6	0.002
Aquila Rapax	6	0.002
Arapaima	6	0.002
Arborimus Longicaudus	6	0.002
Arcellinida	6	0.002
Archoplites Interruptus	6	0.002
Archytas Marmoratus	6	0.002
Arenicola Marina	6	0.002
Argusianus Argus	6	0.002
Artibeus Planirostris	6	0.002
Artogeia Rapae	6	0.002
Ascaris Suum	6	0.002
Asilidae	6	0.002
Ateles	6	0.002
Ateles Hybridus	6	0.002
Ateles Paniscus	6	0.002
Atelopus Zeteki	6	0.002
Atherina Boyeri	6	0.002
Atta Robusta	6	0.002
Austrolebias Nigrofasciatus	6	0.002
Bactrocera Correcta	6	0.002
Bactrocera Tau	6	0.002
Balitoridae	6	0.002
Bandicota Bengalensis	6	0.002
Bandicota Indica	6	0.002
Barbus Haasi	6	0.002
Barbus Xanthopterus	6	0.002
Bassariscus Astutus	6	0.002
Belonolaimus Longicaudatus	6	0.002
Bemisia Tabaci Complex	6	0.002
Bethylidae	6	0.002
Biomphalaria	6	0.002
Birgus Latro	6	0.002
Blatta Orientalis	6	0.002
Blattaria	6	0.002
Boidae	6	0.002
Bombus Pensylvanicus	6	0.002
Bombyliidae	6	0.002
Boreogadus Saida	6	0.002
Bostrichidae	6	0.002
Brachyplatystoma Rousseauxii	6	0.002
Branta	6	0.002
Brycon Hilarii	6	0.002
Brycon Insignis	6	0.002
Brycon Orthotaenia	6	0.002
Bryobia Rubrioculus	6	0.002
Bubo Blakistoni	6	0.002
Bufo Canorus	6	0.002
Bulinus Senegalensis	6	0.002
Calcarius Lapponicus	6	0.002
Calidris Ferruginea	6	0.002
Calidris Temminckii	6	0.002
Callithrix Geoffroyi	6	0.002
Calomys Musculinus	6	0.002
Calosoma Sycophanta	6	0.002
Cambarincola Ingens	6	0.002
Cambarus	6	0.002
Cambarus Robustus	6	0.002
Camelus Bactrianus	6	0.002
Camponotus Rufipes	6	0.002
Campoplex	6	0.002
Capnodis Tenebrionis	6	0.002
Capoeta Trutta	6	0.002
Capra Aegagrus Hircus	6	0.002
Carabus Violaceus	6	0.002
Caracara Plancus	6	0.002
Carassius Auratus Auratus	6	0.002
Carassius Langsdorfii	6	0.002
Carduelis Carduelis	6	0.002
Carposina Sasakii	6	0.002
Caryophyllaeus Laticeps	6	0.002
Cassidinae	6	0.002
Catharus Minimus	6	0.002
Cebus	6	0.002
Centris	6	0.002
Centrolenidae	6	0.002
Cephalophus Silvicultor	6	0.002
Cepphus Grylle	6	0.002
Ceraeochrysa Cubana	6	0.002
Ceratitis Anonae	6	0.002
Ceratotherium Simum Cottoni	6	0.002
Cercopithecus Diana	6	0.002
Ceriodaphnia Quadrangula	6	0.002
Certhia Brachydactyla	6	0.002
Cervus Elaphus Roosevelti	6	0.002
Cervus Nippon Yesoensis	6	0.002
Ceutorhynchus	6	0.002
Ceutorhynchus Assimilis	6	0.002
Channa Marulius	6	0.002
Charadrius Bicinctus	6	0.002
Charadrius Sanctaehelenae	6	0.002
Chelonoidis	6	0.002
Chen Canagica	6	0.002
Cheumatopsyche	6	0.002
Cheyletus Eruditus	6	0.002
Cheyletus Malaccensis	6	0.002
Chinchilla Lanigera	6	0.002
Chionoecetes Opilio	6	0.002
Chironomus Tepperi	6	0.002
Chlamys Argopecten Irradians	6	0.002
Chlamys Nobilis	6	0.002
Chlorocebus Aethiops	6	0.002
Chondrostoma Toxostoma	6	0.002
Chrysididae	6	0.002
Chrysolina Quadrigemina	6	0.002
Chrysomya Albiceps	6	0.002
Chrysomya Putoria	6	0.002
Chrysoperla Plorabunda	6	0.002
Chrysophrys Major	6	0.002
Chydoridae	6	0.002
Cicindela Ohlone	6	0.002
Ciona Intestinalis	6	0.002
Circulifer Tenellus	6	0.002
Clariidae	6	0.002
Clavigralla Tomentosicollis	6	0.002
Clupea Pallasi	6	0.002
Cnemidophorus Vanzoi	6	0.002
Coccygomimus Disparis	6	0.002
Coenonympha Hero	6	0.002
Coilia Ectenes	6	0.002
Colisa Fasciatus	6	0.002
Colobinae	6	0.002
Copsychus Saularis	6	0.002
Coptotermes	6	0.002
Coquillettidia Perturbans	6	0.002
Corbicula Japonica	6	0.002
Coregonidae	6	0.002
Coregonus Huntsmani	6	0.002
Coregonus Sardinella	6	0.002
Coreius Heterodon	6	0.002
Coronella Girondica	6	0.002
Corvus Mellori	6	0.002
Corythucha Arcuata	6	0.002
Cottidae	6	0.002
Cottus Asper	6	0.002
Cottus Perifretum	6	0.002
Crabronidae	6	0.002
Crax Globulosa	6	0.002
Crepidostomum Cooperi	6	0.002
Crocodylus Mindorensis	6	0.002
Crossoptilon Mantchuricum	6	0.002
Cucujidae	6	0.002
Culex Torrentium	6	0.002
Culiseta	6	0.002
Culiseta Longiareolata	6	0.002
Cyanopsitta Spixii	6	0.002
Cydia Strobilella	6	0.002
Cynomys Leucurus	6	0.002
Cyphocleonus Achates	6	0.002
Cyprinodon Nevadensis Mionectes	6	0.002
Cyprinus	6	0.002
Cyrtobagous Singularis	6	0.002
Cystidicola Farionis	6	0.002
Dactylogyridae	6	0.002
Daphnia Dentifera	6	0.002
Daphnia Laevis	6	0.002
Daphnia Mendotae	6	0.002
Daphnia Obtusa	6	0.002
Dasycercus Cristicauda	6	0.002
Dasyuridae	6	0.002
Decticus Verrucivorus	6	0.002
Dendrocopos Syriacus	6	0.002
Dendroctonus Rhizophagus	6	0.002
Dendroica Discolor	6	0.002
Dendroica Fusca	6	0.002
Dendroica Striata	6	0.002
Dendrolimus Punctatus	6	0.002
Dendrosoter Protuberans	6	0.002
Dermanyssus Gallinae	6	0.002
Dermestidae	6	0.002
Diachasmimorpha Kraussii	6	0.002
Diadromus Collaris	6	0.002
Diatraea	6	0.002
Diceros Bicornis Bicornis	6	0.002
Didelphis Albiventris	6	0.002
Dikerogammarus Haemobaphes	6	0.002
Diomedea Dabbenena	6	0.002
Dipodomys Elator	6	0.002
Dipodomys Heermanni	6	0.002
Diprionidae	6	0.002
Discocotyle Sagittata	6	0.002
Discoglossus Galganoi	6	0.002
Discoglossus Pictus	6	0.002
Dispharynx Nasuta	6	0.002
Dolichogenidea Tasmanica	6	0.002
Dromaius Novaehollandiae	6	0.002
Dryocoetes Confusus	6	0.002
Dryomys Nitedula	6	0.002
Dryophytes Suweonensis	6	0.002
Dugesia Dorotocephala	6	0.002
Dugesia Japonica	6	0.002
Dunaliella Tertiolecta	6	0.002
Eccritotarsus Catarinensis	6	0.002
Echinococcus Multilocularis	6	0.002
Echinostoma	6	0.002
Ectropis Obliqua	6	0.002
Eidolon Helvum	6	0.002
Eisenia Veneta	6	0.002
Eliomys Quercinus	6	0.002
Elmidae	6	0.002
Empidonax Oberholseri	6	0.002
Encarsia Nigricephala	6	0.002
Encarsia Transvena	6	0.002
Enicognathus Ferrugineus	6	0.002
Enoggera Nassaui	6	0.002
Ensatina Eschscholtzii	6	0.002
Entamoeba Histolytica	6	0.002
Enteromyxum Scophthalmi	6	0.002
Eotetranychus Willamettei	6	0.002
Ephoron Virgo	6	0.002
Ephydatia Fluviatilis	6	0.002
Epinephelus Aeneus	6	0.002
Epinephelus Akaara	6	0.002
Epinephelus Bruneus	6	0.002
Epioblasma Torulosa Rangiana	6	0.002
Equus Africanus	6	0.002
Equus Kiang	6	0.002
Erannis Defoliaria	6	0.002
Eretmocerus Hayati	6	0.002
Erythroneura Variabilis	6	0.002
Essigella Californica	6	0.002
Euborellia Annulipes	6	0.002
Eucelatoria Bryani	6	0.002
Eufriesea Violacea	6	0.002
Eulamprus Leuraensis	6	0.002
Eulemur Flavifrons	6	0.002
Eulemur Rubriventer	6	0.002
Eumeces Fasciatus	6	0.002
Eumetopias Jubatus	6	0.002
Eumops Floridanus	6	0.002
Eupleres Goudotii	6	0.002
Eurycea Quadridigitata	6	0.002
Eurytomidae	6	0.002
Euseius Sojaensis	6	0.002
Euseius Tularensis	6	0.002
Euxesta Eluta	6	0.002
Exopalaemon Carinicauda	6	0.002
Falcipennis Canadensis	6	0.002
Falco	6	0.002
Falco Berigora	6	0.002
Falco Sparverius Paulus	6	0.002
Formicarius Colma	6	0.002
Fossil Miscellanea	6	0.002
Fringilla Teydea Polatzeki	6	0.002
Fringillidae	6	0.002
Fulgoroidea	6	0.002
Fundulus Notatus	6	0.002
Fusconaia Ebena	6	0.002
Gadus Macrocephalus	6	0.002
Galaxias Argenteus	6	0.002
Galerida Theklae	6	0.002
Galictis Cuja	6	0.002
Gallinula Galeata Sandvicensis	6	0.002
Gallus Gallus Murghi	6	0.002
Gazella Bennettii	6	0.002
Gelechiidae	6	0.002
Geochelone Radiata	6	0.002
Geococcyx Californianus	6	0.002
Geocrinia Alba	6	0.002
Geocrinia Vitellina	6	0.002
Geospiza Fuliginosa	6	0.002
Gerbillus Nanus	6	0.002
Gerbillus Pyramidum	6	0.002
Giardia Duodenalis	6	0.002
Gila Bicolor	6	0.002
Glyptotendipes Paripes	6	0.002
Gnaphosidae	6	0.002
Gnathotrichus Retusus	6	0.002
Gomphidae	6	0.002
Gongylonema Pulchrum	6	0.002
Gopherus Berlandieri	6	0.002
Gorilla	6	0.002
Grus Leucogeranus	6	0.002
Gryllus Campestris	6	0.002
Gryon Pennsylvanicum	6	0.002
Gyps Himalayensis	6	0.002
Gyrodactylus Derjavini	6	0.002
Gyrodactylus Thymalli	6	0.002
Haematopus Moquini	6	0.002
Haemonchus Placei	6	0.002
Haliaeetus Leucogaster	6	0.002
Halticoptera Circulus	6	0.002
Haplochromini	6	0.002
Haplochromis	6	0.002
Harpyhaliaetus Coronatus	6	0.002
Helicoverpa Assulta	6	0.002
Hematodinium	6	0.002
